"id","device","accX","accY","accZ","millis","created"
157214,"pilot01",-238.0981,83.0078,897.3389,1904662,"2020-01-27T17:27:42.583Z"
157215,"pilot01",-234.1919,82.6416,898.0713,1909287,"2020-01-27T17:27:43.183Z"
157216,"pilot01",-236.0229,83.8623,893.4937,1914013,"2020-01-27T17:27:47.497Z"
157217,"pilot01",-236.5112,84.1675,895.6909,1918598,"2020-01-27T17:27:47.500Z"
157218,"pilot01",-234.6802,84.4116,899.4141,1923493,"2020-01-27T17:27:47.507Z"
157219,"pilot01",-237.0605,82.5806,896.1792,1928314,"2020-01-27T17:27:47.510Z"
157220,"pilot01",-234.6802,81.543,898.1323,1932428,"2020-01-27T17:27:47.513Z"
157221,"pilot01",-237.6709,83.1909,900.6348,1936533,"2020-01-27T17:27:47.517Z"
157222,"pilot01",-234.375,84.7168,902.4048,1940903,"2020-01-27T17:27:47.523Z"
157223,"pilot01",-235.8398,82.4585,901.001,1950334,"2020-01-27T17:27:47.530Z"
157224,"pilot01",-235.9009,82.3364,900.6348,1954938,"2020-01-27T17:27:47.537Z"
157225,"pilot01",-236.6333,81.8481,898.6816,1961080,"2020-01-27T17:27:47.540Z"
157226,"pilot01",-236.5112,82.8247,896.3623,1965580,"2020-01-27T17:27:51.277Z"
157227,"pilot01",-235.5347,83.374,895.813,1980222,"2020-01-27T17:27:51.293Z"
157228,"pilot01",-234.1309,82.7026,896.8506,1970756,"2020-01-27T17:27:51.297Z"
157229,"pilot01",-234.314,82.5195,902.5269,1975597,"2020-01-27T17:27:51.300Z"
157230,"pilot01",-235.3516,84.4116,898.0103,1985042,"2020-01-27T17:27:51.303Z"
157231,"pilot01",-236.5112,83.313,896.3013,1989502,"2020-01-27T17:27:51.310Z"
157232,"pilot01",-235.7788,85.083,900.9399,1994088,"2020-01-27T17:27:51.313Z"
157233,"pilot01",-234.9854,83.9233,902.9541,1998953,"2020-01-27T17:27:51.330Z"
157234,"pilot01",-235.0464,83.4961,897.9492,2003563,"2020-01-27T17:27:51.340Z"
157235,"pilot01",-235.9619,83.0688,898.4985,2008283,"2020-01-27T17:27:51.347Z"
157236,"pilot01",-233.7646,83.4351,901.7334,2015402,"2020-01-27T17:27:51.357Z"
157237,"pilot01",-236.9385,82.3364,894.8975,2024857,"2020-01-27T17:27:51.363Z"
157238,"pilot01",-236.9385,82.7637,897.4609,2020067,"2020-01-27T17:27:51.363Z"
157239,"pilot01",-233.4595,84.8999,897.644,2035614,"2020-01-27T17:27:51.380Z"
157240,"pilot01",-238.1592,83.252,896.3013,2045115,"2020-01-27T17:27:51.400Z"
157241,"pilot01",-235.1074,82.2754,903.6255,2031079,"2020-01-27T17:27:51.400Z"
157242,"pilot01",-237.0605,84.9609,898.1323,2040310,"2020-01-27T17:27:51.400Z"
157243,"pilot01",-239.3799,83.8013,896.9727,2049790,"2020-01-27T17:27:51.403Z"
157244,"pilot01",-235.7178,82.7637,896.6675,2053880,"2020-01-27T17:27:51.417Z"
157245,"pilot01",-234.1919,81.2378,900.2686,2058820,"2020-01-27T17:27:51.423Z"
157246,"pilot01",-236.0229,83.313,901.9775,2063525,"2020-01-27T17:27:51.427Z"
157247,"pilot01",-237.1216,82.1533,899.9634,2068211,"2020-01-27T17:27:51.433Z"
157248,"pilot01",-233.6426,84.1064,900.5737,2072851,"2020-01-27T17:27:51.447Z"
157249,"pilot01",-236.3281,82.0923,899.1089,2077426,"2020-01-27T17:27:51.450Z"
157250,"pilot01",-236.145,81.9702,898.0103,2082061,"2020-01-27T17:27:51.457Z"
157251,"pilot01",-233.8257,81.2988,897.8882,2091242,"2020-01-27T17:27:51.463Z"
157252,"pilot01",-235.6567,82.7026,899.4141,2086647,"2020-01-27T17:27:51.460Z"
157253,"pilot01",-236.2061,82.7026,898.2544,2095842,"2020-01-27T17:27:51.470Z"
