"id","device","accX","accY","accZ","millis","created"
4750163,"pilot99",-9.579201,-0.1651999,-0.2322376,649859337,"2020-08-04T12:28:58.640Z"
4750165,"pilot99",-9.581595,-0.1723825,-0.2322376,649859338,"2020-08-04T12:28:59.667Z"
4750167,"pilot99",-9.591172,-0.1939303,-0.2322376,649859339,"2020-08-04T12:29:00.593Z"
4750169,"pilot99",-9.593566,-0.2082956,-0.2825158,649859340,"2020-08-04T12:29:01.717Z"
4750171,"pilot99",-9.605537,-0.1891419,-0.1795651,649859341,"2020-08-04T12:29:02.637Z"
4750173,"pilot99",-9.543288,-0.1867477,-0.1987187,649859342,"2020-08-04T12:29:03.653Z"
4750175,"pilot99",-9.531317,-0.2466028,-0.2561796,649859343,"2020-08-04T12:29:04.590Z"
4750177,"pilot99",-9.61272,-0.1723825,-0.1412579,649859344,"2020-08-04T12:29:05.700Z"
4750404,"pilot99",10.80743,0.05267244,1.391031,649859563,"2020-08-04T12:32:44.530Z"
4750405,"pilot99",9.727641,0.7637503,1.201889,649859564,"2020-08-04T12:32:45.240Z"
4750408,"pilot99",9.900024,-0.4046201,-1.218649,649859565,"2020-08-04T12:32:46.263Z"
4750410,"pilot99",10.43154,-0.08858546,1.012747,649859566,"2020-08-04T12:32:47.300Z"
4750412,"pilot99",10.54646,0.6823475,-0.6775591,649859567,"2020-08-04T12:32:48.307Z"
4750414,"pilot99",10.03889,0.07182605,2.853889,649859568,"2020-08-04T12:32:49.327Z"
4750416,"pilot99",10.40041,-0.2035071,0.1316811,649859569,"2020-08-04T12:32:50.260Z"
4750418,"pilot99",10.38605,0.06943185,0.5889736,649859570,"2020-08-04T12:32:51.287Z"
4750420,"pilot99",10.17775,0.5363012,0.4501099,649859571,"2020-08-04T12:32:52.307Z"
4750422,"pilot99",9.844957,1.302446,-0.3160346,649859572,"2020-08-04T12:32:53.333Z"
4750423,"pilot99",9.651027,0.3040636,-0.4477157,649859573,"2020-08-04T12:32:54.253Z"
4750426,"pilot99",10.64462,-0.4908113,-0.3734955,649859574,"2020-08-04T12:32:55.267Z"
4750428,"pilot99",10.59195,0.4979939,1.78368,649859575,"2020-08-04T12:32:56.290Z"
4750429,"pilot99",9.725247,0.6129156,2.274492,649859576,"2020-08-04T12:32:57.313Z"
4750432,"pilot99",9.172187,0.3351882,-2.319981,649859577,"2020-08-04T12:32:58.343Z"
4750434,"pilot99",10.34056,0.2753332,0.6679823,649859578,"2020-08-04T12:32:59.263Z"
4750436,"pilot99",10.15381,0.4046201,-0.8643068,649859579,"2020-08-04T12:33:00.560Z"
4750438,"pilot99",10.30465,-0.09816227,1.027112,649859580,"2020-08-04T12:33:01.303Z"
4750440,"pilot99",9.907207,0.521936,0.3256114,649859581,"2020-08-04T12:33:02.330Z"
4750442,"pilot99",10.40281,-0.6392518,-2.798822,649859582,"2020-08-04T12:33:03.313Z"
4750444,"pilot99",10.57279,0.4955997,2.743755,649859583,"2020-08-04T12:33:04.280Z"
4750446,"pilot99",9.964667,0.6153098,0.6392518,649859584,"2020-08-04T12:33:05.237Z"
4750448,"pilot99",9.581595,0.3471592,0.2825158,649859585,"2020-08-04T12:33:06.330Z"
4750449,"pilot99",10.87446,-0.08140286,-0.629675,649859586,"2020-08-04T12:33:07.283Z"
4750452,"pilot99",10.65899,0.5434838,0.7996634,649859587,"2020-08-04T12:33:08.260Z"
4750454,"pilot99",9.684546,0.4070143,0.85473,649859588,"2020-08-04T12:33:09.283Z"
4750456,"pilot99",9.821015,0.9050082,2.966416,649859589,"2020-08-04T12:33:10.320Z"
4750458,"pilot99",10.21127,-0.3184288,-1.625663,649859590,"2020-08-04T12:33:11.337Z"
4750460,"pilot99",10.24718,-0.2082956,2.602497,649859591,"2020-08-04T12:33:12.257Z"
4750462,"pilot99",10.48182,0.1723825,0.4764462,649859592,"2020-08-04T12:33:13.283Z"
4750464,"pilot99",10.27352,1.015141,-0.08379706,649859593,"2020-08-04T12:33:14.303Z"
4750466,"pilot99",10.00776,-0.1053449,-1.697489,649859594,"2020-08-04T12:33:15.223Z"
4750467,"pilot99",10.52491,0.2154782,1.862689,649859595,"2020-08-04T12:33:16.247Z"
4750470,"pilot99",9.773131,0.8212111,-0.7757214,649859596,"2020-08-04T12:33:17.273Z"
4750472,"pilot99",10.01974,0.237026,0.2681506,649859597,"2020-08-04T12:33:18.303Z"
4750474,"pilot99",10.73081,-0.629675,-0.296881,649859598,"2020-08-04T12:33:19.320Z"
4750476,"pilot99",10.65659,-0.04548983,1.374272,649859599,"2020-08-04T12:33:20.340Z"
4750478,"pilot99",9.603143,0.5243302,-0.237026,649859600,"2020-08-04T12:33:21.257Z"
4750480,"pilot99",9.885659,0.7852982,0.6488287,649859601,"2020-08-04T12:33:22.300Z"
4750482,"pilot99",9.497798,-0.09097966,-0.1077391,649859602,"2020-08-04T12:33:23.277Z"
4750484,"pilot99",10.74039,0.1125275,1.587356,649859603,"2020-08-04T12:33:24.337Z"
4750486,"pilot99",9.464279,0.605733,1.319205,649859604,"2020-08-04T12:33:25.320Z"
4750488,"pilot99",9.746795,0.2944868,-0.2298434,649859605,"2020-08-04T12:33:26.227Z"
4750490,"pilot99",9.765948,0.1628057,0.1292869,649859606,"2020-08-04T12:33:27.303Z"
4750492,"pilot99",9.950302,-0.3184288,-2.60968,649859607,"2020-08-04T12:33:28.407Z"
4750494,"pilot99",9.617508,0.1508347,1.419762,649859608,"2020-08-04T12:33:29.253Z"
4750496,"pilot99",10.52252,0.225055,1.192312,649859609,"2020-08-04T12:33:30.277Z"
4750498,"pilot99",9.651027,0.06703765,0.2178724,649859610,"2020-08-04T12:33:31.233Z"
4750500,"pilot99",9.861717,0.6200982,0.7038953,649859611,"2020-08-04T12:33:32.320Z"
4750502,"pilot99",10.12508,-0.04070143,1.975216,649859612,"2020-08-04T12:33:33.350Z"
4750504,"pilot99",9.674969,0.2513912,0.3399766,649859613,"2020-08-04T12:33:34.257Z"
4750506,"pilot99",9.89763,-0.01197101,0.1460463,649859614,"2020-08-04T12:33:35.230Z"
4750508,"pilot99",9.861717,-0.1125275,0.8738836,649859615,"2020-08-04T12:33:36.313Z"
4750510,"pilot99",9.646238,0.1053449,-0.3280056,649859616,"2020-08-04T12:33:37.337Z"
4750512,"pilot99",9.689334,-0.004788404,0.5267244,649859617,"2020-08-04T12:33:38.250Z"
4750514,"pilot99",9.916783,-0.2944868,0.2202666,649859618,"2020-08-04T12:33:39.270Z"
4750516,"pilot99",10.07241,0.2513912,0.5386954,649859619,"2020-08-04T12:33:40.210Z"
4750518,"pilot99",10.05325,0.1029507,-0.3160346,649859620,"2020-08-04T12:33:41.327Z"
4750520,"pilot99",10.07959,-0.02633622,0.08619126,649859621,"2020-08-04T12:33:42.243Z"
4750522,"pilot99",10.09156,0.03591302,0.6943185,649859622,"2020-08-04T12:33:43.273Z"
4750524,"pilot99",10.23282,0.2226608,0.2920926,649859623,"2020-08-04T12:33:44.217Z"
4750526,"pilot99",10.07001,-0.007182605,0.8619126,649859624,"2020-08-04T12:33:45.413Z"
4750528,"pilot99",10.06044,0.6344634,0.7230489,649859625,"2020-08-04T12:33:46.337Z"
