"id","device","accX","accY","accZ","millis","created"
4849225,"pilot99",10.13945,-0.248997,-0.3615245,649900800,"2020-08-05T00:00:00.270Z"
4849228,"pilot99",9.92636,0.4716577,1.328782,649900801,"2020-08-05T00:00:01.433Z"
4849231,"pilot99",9.995792,0.1843535,1.42455,649900802,"2020-08-05T00:00:02.413Z"
4849234,"pilot99",10.29028,0.1292869,1.302446,649900803,"2020-08-05T00:00:03.320Z"
4849237,"pilot99",9.859323,0.4788404,-1.036689,649900804,"2020-08-05T00:00:04.273Z"
4849240,"pilot99",9.504981,0.4261679,2.140416,649900805,"2020-08-05T00:00:05.273Z"
4849244,"pilot99",9.730036,0.1125275,0.8690952,649900806,"2020-08-05T00:00:06.257Z"
4849247,"pilot99",9.698911,-0.05506664,-1.489193,649900807,"2020-08-05T00:00:07.303Z"
4849250,"pilot99",9.461885,-0.08140286,-0.9959879,649900808,"2020-08-05T00:00:08.320Z"
4849253,"pilot99",9.797073,0.01197101,-0.4812346,649900809,"2020-08-05T00:00:09.260Z"
4849256,"pilot99",9.828198,-0.09576806,0.3615245,649900810,"2020-08-05T00:00:10.373Z"
4849259,"pilot99",10.39084,0.8044518,2.240973,649900811,"2020-08-05T00:00:11.293Z"
4849262,"pilot99",10.18254,0.1268927,-0.8164227,649900812,"2020-08-05T00:00:12.310Z"
4849265,"pilot99",9.97185,-0.04548983,1.125275,649900813,"2020-08-05T00:00:13.333Z"
4849268,"pilot99",10.31183,-0.07900865,0.2561796,649900814,"2020-08-05T00:00:14.363Z"
4849271,"pilot99",9.89763,0.641646,0.213084,649900815,"2020-08-05T00:00:15.287Z"
4849274,"pilot99",9.370906,0.629675,-1.273715,649900816,"2020-08-05T00:00:16.307Z"
4849277,"pilot99",9.564836,-0.09337386,0.3423708,649900817,"2020-08-05T00:00:17.260Z"
4849280,"pilot99",10.51055,0.2992752,-2.837129,649900818,"2020-08-05T00:00:18.353Z"
4849283,"pilot99",9.938332,0.8212111,1.714248,649900819,"2020-08-05T00:00:19.370Z"
4849286,"pilot99",10.10114,-0.4740519,-0.1484405,649900820,"2020-08-05T00:00:20.290Z"
4849289,"pilot99",10.70448,0.03112462,0.9313444,649900821,"2020-08-05T00:00:21.313Z"
4849292,"pilot99",10.3214,0.3950433,-0.3423708,649900822,"2020-08-05T00:00:22.350Z"
4849296,"pilot99",9.923966,0.2322376,1.833959,649900823,"2020-08-05T00:00:23.367Z"
4849299,"pilot99",10.30704,-0.1125275,-3.466804,649900824,"2020-08-05T00:00:24.293Z"
4849302,"pilot99",10.6925,0.02873042,1.867477,649900825,"2020-08-05T00:00:25.307Z"
4849305,"pilot99",10.11071,0.1268927,0.6560113,649900826,"2020-08-05T00:00:26.260Z"
4849308,"pilot99",10.12987,0.5961562,1.21386,649900827,"2020-08-05T00:00:27.353Z"
4849311,"pilot99",9.921572,-0.1221043,-1.101333,649900828,"2020-08-05T00:00:28.277Z"
4849314,"pilot99",10.22085,0.2801216,2.75812,649900829,"2020-08-05T00:00:29.297Z"
4849317,"pilot99",10.04846,0.2585738,-0.7924808,649900830,"2020-08-05T00:00:30.327Z"
4849320,"pilot99",9.713276,0.260968,1.386243,649900831,"2020-08-05T00:00:31.367Z"
4849323,"pilot99",9.92636,0.05027823,-0.6081272,649900832,"2020-08-05T00:00:32.380Z"
4849326,"pilot99",10.6925,0.4189853,1.853112,649900833,"2020-08-05T00:00:33.287Z"
4849329,"pilot99",9.809045,0.7326257,0.7805098,649900834,"2020-08-05T00:00:34.320Z"
4849332,"pilot99",9.624691,-0.05027823,-0.237026,649900835,"2020-08-05T00:00:35.353Z"
4849335,"pilot99",10.1586,-0.3902549,-1.78368,649900836,"2020-08-05T00:00:36.367Z"
4849338,"pilot99",9.993398,0.5602432,1.16837,649900837,"2020-08-05T00:00:37.400Z"
4849341,"pilot99",9.416395,0.5195417,-0.521936,649900838,"2020-08-05T00:00:38.260Z"
4849344,"pilot99",10.0341,0.5650316,0.533907,649900839,"2020-08-05T00:00:39.340Z"
4849348,"pilot99",9.64145,-0.5746084,-2.53546,649900840,"2020-08-05T00:00:40.357Z"
4849351,"pilot99",10.51055,-0.3639187,1.675941,649900841,"2020-08-05T00:00:41.390Z"
4849354,"pilot99",10.4459,0.9217676,1.010353,649900842,"2020-08-05T00:00:42.297Z"
4849357,"pilot99",9.478644,0.05267244,-1.982399,649900843,"2020-08-05T00:00:43.267Z"
4849360,"pilot99",10.41238,-0.1101333,-1.872266,649900844,"2020-08-05T00:00:44.347Z"
4849363,"pilot99",10.5273,0.6368576,1.017536,649900845,"2020-08-05T00:00:45.363Z"
4849366,"pilot99",9.622296,0.2633622,-0.1651999,649900846,"2020-08-05T00:00:46.393Z"
4849369,"pilot99",10.14184,0.07661445,3.287239,649900847,"2020-08-05T00:00:47.317Z"
4849372,"pilot99",10.12987,-0.260968,-1.063026,649900848,"2020-08-05T00:00:48.333Z"
4849375,"pilot99",10.46266,-0.1987187,0.06703765,649900849,"2020-08-05T00:00:49.363Z"
4849378,"pilot99",10.25916,1.007959,1.084573,649900850,"2020-08-05T00:00:50.287Z"
4849381,"pilot99",9.974244,0.5674258,0.06464344,649900851,"2020-08-05T00:00:51.300Z"
4849384,"pilot99",9.564836,0.1532289,0.521936,649900852,"2020-08-05T00:00:52.333Z"
4849387,"pilot99",10.75236,0.28491,0.4548983,649900853,"2020-08-05T00:00:53.383Z"
4849390,"pilot99",10.0317,0.6967127,0.1987187,649900854,"2020-08-05T00:00:54.380Z"
4849394,"pilot99",9.449914,0.4333505,-0.2202666,649900855,"2020-08-05T00:00:55.540Z"
4849397,"pilot99",9.799467,0.04309563,0.2418144,649900856,"2020-08-05T00:00:56.323Z"
4849400,"pilot99",9.933543,0.4046201,-0.2154782,649900857,"2020-08-05T00:00:57.277Z"
4849403,"pilot99",9.904813,0.3375824,0.9097966,649900858,"2020-08-05T00:00:58.370Z"
4849406,"pilot99",9.849746,0.07900865,0.9983821,649900859,"2020-08-05T00:00:59.400Z"
4849409,"pilot99",9.564836,-0.260968,-1.508347,649900860,"2020-08-05T00:01:00.317Z"
4849412,"pilot99",10.33816,-0.3711013,-0.9840169,649900861,"2020-08-05T00:01:01.333Z"
4849415,"pilot99",10.42436,0.6320692,0.1125275,649900862,"2020-08-05T00:01:02.360Z"
4849418,"pilot99",9.483433,0.3399766,-0.1197101,649900863,"2020-08-05T00:01:03.283Z"
